comment,likes,replies
5 hour sleep is such a precious treasure which im always looking for everyday,0,0
"A decade of hospital nightshifts taught me a lot about aging and sleep, and how little we appreciate it.",0,1
Watching this at 4am makes you want to  go to sleep even if you can't fall a sleep,0,0
"To make a nerdy comparison:

Getting a good night's sleep is like remembering to save your game. Throughout the day you play the game of life and try to accumulate experience and level up. If you sleep, you will keep your level ups and go into the next day better than before. If you don't sleep it's like throwing away all your progress and staying at the same level. And if you don't sleep well for a long period of time, you can end up losing levels, so many that you might drive yourself permanently insane or die.

Sleep and keep your experience, folks.",0,0
I am getting a very good sleep while watching this video ,0,0
"I agree with the cardiovascular problem when you are lacking sleep. It happens to me all the time. When I wasn't sleeping well, the next day my heart rate will increase.",11,0
Hands down the best Ted Ed talk I have watched.,0,0
Very insightful presentation.. Thank you,0,0
Great speaker and interesting information,0,0
So glad to see this type of talks,0,0
I fell asleep while watching this video!! Great video ,0,0
The quality of this presentation is just amazing,230,0
Very interesting and very good presentation skills.,1,0
Thank him for a nice good healthy information. Bless him.,0,0
"Sleep quite literally is a superpower! He just didn't have enough time to dig even deeper like terrible mutations, hormone imbalance, hampered recovery and so on.",0,0
"I have his book "" Why We Sleep"" , and this video was amazing, though his book was so many jargons cause English is my second language. I wrote this at 3AM, 3:05 AM exactly.",1,0
I pray everyone has the privilege of regular sleep. Ameen.,1,0
"I finished my Degree in Biotechnology using this method; sleep before studying and sleep after studying. It is truly effective. I never cross-night or use energy drinks. Once I am tired, I sleep, or during study breaks I play a game or watch a series. A brain can be treated as a pet and can be submissive if trained. 

Thanks for this informative video Ted.",461,9
This guy got passion in his voice,0,0
Thank you for share this with us! ,0,0
"lol it's interesting how this video appeared on my recommended feed today, as I have been sleep deprived (trying to be over-productive) these past few weeks and finally got a much desperately needed 10 hours of sleep last night. I'm glad I stumbled on this video.",0,0
Mathew Walker is an inspiration.,0,0
Dengeli ve yeterli uyku + Sağlık ,14,0
this guy is spot on!  we need to all get better sleep.  good ted talk.,58,0
"infelizmente as legendas estão desalinhadas com as falar, mas ótima palestra.",0,0
My favorite hobby is sleep. I feel so validated right now.,0,0
Matt is incredible,0,0
"In my dreams 
As a traveller, who rarely has a routine, I've become accustomed to switching off . Sometimes, because of my current job, I get sleep deprived and other times I  get jet lag. The cure for both is, asap just sleep and eat, sleep and eat, until you feel refreshed.",1,0
"“What do we do when we’re tossing and turning around late at night and can’t sleep?”
Matt: answers so professionally and so smart
“So tossing and turning in bed, what do we do?” ",0,0
Thank you for reminding us that sleep is essential for our wellbeing and learning capability. By getting enough sleep we set ourselves up for success to live full out.,9,0
Matthew's book changed my life. I'm so grateful for discovering him... Shout out to JRE.,3,0
"“What do we do when we’re tossing and turning around late at night and can’t sleep?”
Matt: answers so professionally and so smart
“So tossing and turning in bed, what do we do?” ",0,0
I learn more of these videos than I do in college,0,0
"I am so horribly sleep deprived right now and this all makes me want sleep so bad I want to cry. I know the baby season will pass, but my goodness it is hard.",0,0
Excelent!! I really appretiate the information it is very usefull!,0,0
"You could tell this guy has invaluable sleep quality every night
No dark circles",870,17
The fact that bro have no dark circles is a proof of his research and efficacy of his work,0,0
"It's crazy how schools and companies didn't create a system for people getting proper sleep, too much work, kill me why not",2,0
deep sleep + deep work = deep success,11,0
"whenever I have a bad night of sleep, I wake up feeling sickly. always. it's impressive, really",0,0
"Man I sleep at 3-330 am every weekday, wake up at 8am for work…sometimes 6am when having to go in the office.

I’m sleep deprived af, I always fall asleep during work whether at home or in the office. 

My problem has always been not being able to sleep earlier, if I tried to sleep at 11-12 I’d literally just lay in bed waiting for sleep to happen and it doesn’t. I’ll start to get sleepy at 3-4 and that’s when I end up sleeping",0,0
"Such a brilliant, fun, smart and inspiring presentation! Thank you, one of the best talks Ive ever seen",21,0
Someone told me you only need 3-4 hours of sleep a night and that's why he gets so much done ,0,0
"Not only is he a Karate Expert, but Chuck Norris is a Sleep Expert too!",1,0
I legit passed out to this video so I came back here to try and listen to the whole video.,0,0
I would listen to this guy all night,0,0
This is absolutely  amazing. Verry good perform. Thank you so much.,2,0
"I started taking my sleep seriously and i do notice a difference, in my mood and how I handle on my day to day. I noticed my sleep was better in a cold room too. Keep the room dark. Melatonin helps me too, I wake up refreshed.",16,1
This explains why I always slept in school but scored well on my testings  ,0,0
Bundan sonra daha verimli ders ve başarı için daha verimli uyku gerek ,30,4
"What a shocker.....Where are those who says the rich do not sleep? Have they seen this video to understand the reparation sleep does to the body? Little wonder the body naturally triggers you to sleep when sick, it's simply saying i need recuperation. 

Thank you for this exposition Walker. To think that i actually watched this at 3:19 am.......

You are quite a fine speaker Walker, a well articulated speech void of fillers. This video could pass for a reference to those looking to engage and master the act of public speaking.

Thank you for sharing Matt Gray.",0,0
Would love to see the research results,0,0
The 5 AM club book and this wnderful speech complete each other very well thank you so much,0,0
Probably one of the most important TED Talks on the internet.,31,0
"Summary of the above session 

*Research and Experiments :*

- Testosterone levels are greater, a decade of difference.
- Sleep before learning (40% more efficient after sleep).
- Better sleep, better learning (Hippocampus).
- Big powerful brain waves act as file transfer making temporary to permanent memory during deep sleep.
- Worse sleep, worse memory and more ageing and Alzheimer.
- Small voltage inserted in young healthy brain, amplifies brain waves.
- 24 % increase in heart attacks, car accidents and suicides during springs.
- Natural killer cells activity decreases by 70 % as 4 hours sleep leads to cancer of prostate.
- Sleep and gene (6 hrs vs 8 hrs sleep) genes are distorted due to lack of sleep .

*Tips for better sleep :*

- Regularity : go to bed at same time weather its weekend.
- Optimum temperature of room while sleep.
- Tossing and turning in bed? get out of bed go to other room
- Go to bed only when you feel sleepy don’t wait for sleep on bed, you don’t sit on dinning table hoping to get hungry.

Hope you find this helpful :)",1,0
Matt is so pleasing to listen to,0,0
Me watching this when I've had 5-6hrs of sleep a night on average for the past 8 years: ,0,0
"A room temp of 65 degrees? Dang! I live in PHX & no matter how low I set the AC even if its running constantly, & its a huge new AC....there is no way to get my home under 78 degrees. Which is fine with me, I am freezing if it ever gets under 70. Great talk.....fascinating stats",0,0
I’m sure the results would be different for everyone as they all have different life styles and way of life vs in a control environment rather than not having to worry about l their daily routine.,0,0
A very powerful video on the subject of sleep. A must watch video!,129,2
This guy is THE BEST!!!,0,0
"This should be added to the Human Rights bill... Currently it's close to impossible to achieve 8hrs of actual sleep on a regular basis, when you consider: * Fulltime Employment * Commuting * Sport activity (also essential for health, so they say) * Time with kids + spouse + friends + self + chores.
Especially with increase in living costs, often people need to also have a side-hustle for additional income, or study/work towards a better opportunity. No time for net 8hrs sleep, when you nees to consider all above (and are being paid minimum to average wage)",0,0
"Take a walk in late evening to get tired, don't see the time if you wake up in middle of the night, most importantly pray before sleep, Happy sleeping",2,0
Just an amazing talk with scary information!,0,0
I love how this is all proved but schools still start early and give tons of work to due so we don’t get time to sleep. Our school system definitely needs to be changed.,0,0
a prize should be given to this man for this speech. enormous.,39,0
"The all nighter study bugs me a bit because (as an experienced all-nighter-er) generally you would be pulling an all nighter to study, not to learn something the next day and then be tested on it. You can't truly conclude a typical all-nighter is a bad decision based on these parameters (although it undoubtedly always is)...",0,0
"He looks like he sleeps well, even in his stance and speech. Off to bed i go. I really enjoyed this i hope i can implement this consistently",0,0
Great talk ,1,0
Do a comparison study between meditation group people & 8 hour sleep... The result might be amazing...,0,0
I liked this part of aging ..god bless our parents ,0,0
One of the best TED presenters I've ever seen. Thank you :),26,0
makes me sleep immediately,0,0
"Ok.... Definitivamente lo necesitaba escuchar en una noche de insomnio

Intentaré mejorar mis hábitos de sueño",3,0
"Day 3 without sleeping so I have to watch this and see if my brain will sleep. it's not me, it the one that doesn't want to sleep.",1,0
Im so glad its 3 am and my psy 150 teacher decided this was what i needed to do on top of our paper tonight.,0,0
he answered the last question so well. Thats a clever answer.,0,0
Is it just me or you’re getting sleepy too? Such a clear & soothing voice.,28,0
This was great! Captions are off by about 10 seconds on my end. Appreciate this YT channel so much!,0,0
"I fell asleep while watching this for the first time, so nice",1,0
watching this quietly next to my husband while he snores in my ear  great video,0,0
"It's like performing a hard drive defragment to organize and clean up files and then doing an update and restarting the computer for the next day, but its all biological. It's like our bodies are a self repairing computer that eventually can't defragment because our storage gets used up or parts of the body fail. Just like a computer when its parts fail, the entire computer will shut down unless it is replaced.. but if it's too old, most of them get thrown away. Insane thought process lol",0,0
Great speech,0,0
"""Sleep is your superpower"" the greatest quote I have ever heard.",324,2
"Is sleeping in excess bad too? I think I have been sleeping a lot around 10 hours a day in total, 8 hours in night and 2 hours in the afternoon.",3,0
Thanks for this knowledge,0,0
"I'm finally that guy in the early morning, 5:19am, watching a video about how important sleep is.",0,0
so whats the most natural time to wake up in the morning? and whats the best temperature to have in the room you sleep in?,0,0
definitely in the clear on not sleeping enough  is there any TED Talk on the effects of sleeping 10-12 hours vs 8?,0,0
"My father always sleep at 7pm and wake up at 4am.

He is now 82 years old, healthy.",527,26
Waiting at the dinner table won't make you hungry any sooner but laying down with eyes closed will get you to sleep faster in most cases. Unless you need to do something to get some exercise and stress out,0,0
"Can we talk about the fact that in the grind society sleep has become a privilege? I think of parent with no help and children who don't sleep well. I think of people who work crazy hours and sleep in crowded houses because that is what they can afford. This is the real issue that needs to be addressed. Society wants us to work and not sleep, sleeping is for lazy. I love my sleep and get a minimum of 7 hours every night, but I have no kids and I have never had sleeping problems. How do we address the underlying issue?",0,0
Great talk!!!!,0,0
"When you can only afford to pay for a one room apartment, where you don't have a couch, or anything comfortable except for your bed it's pretty difficult to follow this advice, and I'm not the only person living in such circumstances, or much worse...",0,0
"Amazing, thank you ",0,0
He sounds so crystal clear when he pronounces words,473,12
"It's all due to melatonin produced by the pineal gland during night sleep. It's a very important hormone. Published few papers on it...anticancer and enhancing the immune response of the body.
A strong antioxidant too..reduces aging.",1,0
"Agora estou em Pânico 4 horas manhã assistindo, essa palestra 

Preciso dormir mas não consigo, preocupações de todos os lados",0,0
All those people that view sleep as a weakness need to watch this video.,1,0
"I depreived myself of sleep for a month, i just couldn't sleep at all, i developed sciatica, hpylori, irregular heartbeats, a knee problem, all before i realized i just needed a system. Nowadays i sleep 9 hours and when my head hits the pillow, I'm gone. I've never felt more better. My sciatica went away after walking 3 miles everyday.",0,0
Couldn't sleep and started watching this video. After hearing all of the risks of not sleeping now I won't sleep at all. Thanks.,1,2
"Testosterane part is true indeed. When I sleep 5-6 h night I can't build muscle but when I sleep 8+h my workouts are amazing. I feel so strong, full and put way more muscle mass.",10,0
"My lack of sleep is definitely harming me. The road near my house has got busier and noisier. Anyway, I should at least improve my sleeping habits and make sure I go to bed and get up with a more regular schedule.",0,0
"Great Job 
Thank you for this video",1,0
I think my issue with this is like everything else not everyone is allowed to get the same amount of sleep,0,0
"Oh !! Matt walker , incredible man !! 
And the last solution for tossing and turning in bed is just so classy and brilliant  .. BRAVO !!",0,0
"Brilliant, thank you ",0,0
"He was on Joe Rogan's podcast a while back, one of my favorite JRE episodes ever. I highly recommend it.",87,5
I love all your Research Matt,0,0
"watching this because i have given myself insomnia by staying up late to watch tv and play video games, and recently made it much worse by doing cocaine while gaming. the coke makes gaming very very fun compared to my college work and full time job that take up my whole day and make me miserable. i just woke up from a 2 day sleep after staying awake for 4 days straight while binging cocaine and am in the most pain i’ve felt in a long time. this video solidified my decision for sure and i now realize this behavior is self sabotage and severely limiting my potential. never was the type to abuse drugs so i thought it was harmless fun, but trying cocaine this past month has been my biggest mistake i’ve ever made and i will never touch another substance as long as i live. wish me luck with the horrible withdrawal im experiencing, and the consequences of abusing my body with sleep deprivation. i am facing these consequences head on as i am the only one to blame, the next month will be challenging but i feel as if this is a well deserved lesson i am being taught for throwing throwing my discipline out the window.",1,0
"The way this man is speaking is really professional 
No ‘uhh’ or ‘aahh’ etc.
Respect!",0,0
8 hours of solid sleep is a luxury that not everyone can afford,0,0
Nice book. Loved it. 7 hrs per day. I am still getting sleep. Got a dog. Sleep deprivation is cheating. Love. Trinity and Neo. Now VR.,0,0
"The problem with this is we've been trained to sleep as little as possible from a young age since we want to ""maximize"" free time before we have to wake up at 6am for school. Schools should not only start later, but actually engage kids and make them want to wake up in the morning.",8,0
I sleep 8-10 hours a night because my anxiety makes me constantly exhausted so that’s good lol,0,0
This guy is the best mattress salesman I have ever seen nor heard of,0,0
"Cool, now to create an educational system that actually allows for that much sleep.",0,0
Who knew sleep could impact us so deeply?,0,0
I didn't sleep the last night and watching this video at 9 am. I am feeling sleepy now. Good night! ,0,0
"Sleeping is very important for health.
Sleep is like a meditation",60,6
Can you reverse the negative effects of getting less sleep by getting better sleep? How long does it take?,0,1
 buenísima,0,0
Watching this at 11am on my way to work. Running on 3 hours of sleep ,0,0
“I would like to start with testicles” the literal greatest introduction to a speech I have ever hesrd,0,0
"I've been a asolid 6 hour only sleeper since I was a child. No matter what time I fall asleep, I'm up in 6 hours",0,0
"Matt Walker : ""Shorter sleep means shorter life.""
Me : ""Sleep 23 hrs a day and prepare to live 200 years.""",884,24
Love this… Thanks! ️,0,0
This is a really important stuff for our days,0,0
"watchinng this at the gym, in the morning, before my class, after 7hours of sleep !",0,0
Harika bir konuşmaydı ,1,0
"I think most people in equator would agree that even though they maintain regularity, Cooling part is probably a challenge of most of developing nations in this region",0,0
Sleep is the most neglected part of fitness in Western Civilization.,1209,20
How is this 3 years old and I'm just now hearing about it.  ,0,0
In 2014 I was still working in a very stressful job and I had no pain but my appendix ended up w an abscess and perforating.  I just felt extremely tired and bloated w indigestion. I was in hospital after the appendectomy for one week. Now I wonder that stress and sleep issues caused it.,0,0
Watching this to motivate me to sleep early.,1,0
This was such an important video to watch.,0,0
The only talk where you’ll be congratulated if you fall asleep in it.,1,1
That moment when you‘re watching this at 2 am,2.5万,488
All this talk about sleep was ironically an eye opener.,0,0
oh my god that's an amazing video. Super super amazing topic and very helpful. TY,0,0
"i suffer from eczema and it has gotten worse to the point that i have to wear pants whenever i go outside regardless how hot the weather is, i found out that sleeping late can cause my internal body temperature to decrease therefore causing a breakout in my skin as my natural anti inflammatory system is lessen, when i started to sleep before 10 pm there wasn’t any changes up until my 2nd week of sleeping early thats when i noticed that my eczema has closed themselves without me putting any topical steroid for almost a month now, if you suffer with eczema like me, sleeping early will help you to deal with it, along with some vitamin c, sunlight, fragrance free toiletries and lessen sugar ",0,0
Amazing Lecture and Q&A,0,0
"Tradução Para português 

Muito obrigado. Bem, eu gostaria de começar com os testículos. Homens que dormem cinco horas por noite têm testículos significativamente menores do que aqueles que dormem sete horas ou mais. Além disso, homens que rotineiramente dormem apenas de 4 a 5 horas por noite terão um nível de testosterona equivalente ao de alguém 10 anos mais velho. Portanto, a falta de sono envelhece um homem em uma década em termos desse aspecto crítico da saúde. E observamos uma diminuição equivalente na saúde reprodutiva feminina causada pela falta de sono. Essa é a melhor notícia que tenho para você hoje. A partir desse ponto, as coisas podem piorar. Não apenas vou lhe falar sobre as coisas maravilhosamente boas que acontecem quando você dorme, mas também sobre as coisas alarmantemente ruins que acontecem quando você não dorme o suficiente, tanto para o seu cérebro quanto para o seu corpo. Vou começar pelo cérebro e pelas funções de aprendizagem e memória. Porque o que descobrimos nos últimos 10 anos, mais ou menos, é que você precisa dormir após aprender para essencialmente pressionar o botão de salvar nessas novas memórias para que você não as esqueça. Mas recentemente, descobrimos que você também precisa dormir antes de aprender.

E agora, para preparar seu cérebro, quase como uma esponja seca pronta para absorver inicialmente novas informações. E sem sono, os circuitos de memória do cérebro essencialmente ficam encharcados, por assim dizer, e você não consegue absorver novas memórias. Deixe-me mostrar os dados. Neste estudo, decidimos testar a hipótese de que passar a noite em claro era uma boa ideia. Então, pegamos um grupo de indivíduos e os dividimos em dois grupos experimentais, um grupo que dormiria e um grupo que ficaria privado de sono. O grupo que dormiria teria oito horas completas de sono. Já o grupo privado de sono, nós manteríamos acordados no laboratório sob supervisão total. Nada de cochilos ou cafeína, aliás, então é horrível para todos os envolvidos. E no dia seguinte, colocaríamos esses participantes dentro de um scanner de ressonância magnética (MRI) e faríamos eles tentarem aprender uma lista completa de novos fatos enquanto capturamos instantâneos da atividade cerebral. E depois testaríamos para ver quão efetiva foi essa aprendizagem. E é isso que você está vendo aqui no eixo vertical. E quando comparamos os dois grupos, encontramos um déficit significativo de 40% na capacidade do cérebro de criar novas memórias sem sono.

Acho que isso deve ser preocupante considerando o que sabemos sobre o sono nas populações educacionais atualmente. Na verdade, para contextualizar, seria a diferença entre uma criança se sair muito bem em um exame ou fracassar miseravelmente, 40%. E descobrimos o que acontece de errado em seu cérebro para causar esses tipos de deficiências de aprendiz

agem. E há uma estrutura que fica no lado esquerdo e direito do seu cérebro chamada hipocampo. E você pode pensar no hipocampo como a caixa de entrada de informações do seu cérebro. Ele é muito bom em receber novos arquivos de memória e depois retê-los. E quando olhamos para essa estrutura nas pessoas que tiveram uma noite completa de sono, vimos muita atividade saudável relacionada à aprendizagem. Porém, nas pessoas privadas de sono, na verdade não conseguimos encontrar nenhum sinal significativo. É como se a privação de sono tivesse fechado sua caixa de entrada de memória e qualquer novo arquivo que chegasse fosse rejeitado. Você não consegue efetivamente fixar novas experiências na memória. Então, isso é o que pode acontecer de ruim se eu tirar o sono de você. Mas vamos voltar ao grupo de controle por um momento.

Você se lembra daqueles indivíduos que dormiram oito horas completas? Bem, podemos fazer uma pergunta bem diferente. O que há na qualidade fisiológica do seu sono, quando você realmente dorme, que restaura e melhora sua memória e capacidade de aprendizagem todos os dias? E ao colocar eletrodos em toda a cabeça, descobrimos que existem ondas cerebrais grandes e poderosas que ocorrem durante as fases mais profundas do sono, e essas ondas têm sobre elas explosões espetaculares de atividade elétrica que chamamos de fusos de sono. E é a qualidade combinada dessas ondas cerebrais do sono profundo que age como um mecanismo de transferência de arquivos durante a noite, transferindo memórias de um reservatório vulnerável de curto prazo para um local de armazenamento permanente e de longo prazo dentro do cérebro, protegendo-as e tornando-as seguras. E é importante entender o que durante o sono realmente proporciona esses benefícios à memória, pois há implicações médicas e sociais reais. E deixe-me falar sobre uma área em que levamos esse trabalho para a prática clínica, que é o contexto do envelhecimento e da demência. Porque não é segredo que, à medida que envelhecemos, nossas habilidades de aprendizagem e memória começam a diminuir e declinar.

Mas o que também descobrimos é que uma assinatura fisiológica do envelhecimento é que seu sono piora, especialmente a qualidade do sono profundo que acabei de mencionar. E apenas no ano passado, finalmente publicamos evidências de que essas duas coisas não estão simplesmente ocorrendo ao mesmo tempo. Elas estão significativamente inter-relacionadas. E isso sugere que a interrupção do sono profundo é um fator subestimado que contribui para o declínio cognitivo ou declínio da memória no envelhecimento, e mais recentemente descobrimos também na doença de Alzheimer. Agora, eu sei que essa é uma notícia incrivelmente deprimente. Ela está a caminho, está chegando até você. Mas há uma possível luz no fim do túnel aqui. Ao contrário de muitos outros fatores associados ao envelhecimento, como mudanças na estrutura

física do cérebro, que são extremamente difíceis de tratar, o sono é uma peça que falta no quebra-cabeça explicativo do envelhecimento e da doença de Alzheimer, o que é empolgante porque talvez possamos fazer algo a respeito. E uma maneira pela qual estamos abordando isso em meu centro de sono não é usando pílulas para dormir, a propósito. Infelizmente, elas são ferramentas grosseiras que não produzem um sono natural. Em vez disso, estamos desenvolvendo um método baseado nisso.

É chamado de estimulação cerebral de corrente contínua direta. Você insere uma pequena quantidade de voltagem no cérebro, tão pequena que geralmente você não a sente, mas ela tem um impacto mensurável. Agora, se você aplicar essa estimulação durante o sono em adultos jovens e saudáveis, como se estivesse cantando no ritmo dessas ondas cerebrais do sono profundo, não apenas pode ampliar o tamanho dessas ondas cerebrais do sono profundo, como também podemos quase dobrar a quantidade de benefício à memória que você obtém do sono. A questão agora é se podemos traduzir essa mesma peça de tecnologia acessível e potencialmente portátil para adultos mais velhos e pessoas com demência. Podemos restaurar uma qualidade saudável do sono profundo? E ao fazer isso, podemos preservar aspectos da função de aprendizagem e memória delas? Essa é minha verdadeira esperança agora. É um de nossos objetivos ambiciosos, por assim dizer. Então, esse é um exemplo de sono para o seu cérebro, mas o sono também é essencial para o seu corpo. Já falamos sobre a perda de sono e o sistema reprodutivo. Ou eu poderia falar sobre a perda de sono e o sistema cardiovascular, e tudo o que é necessário é uma hora. Porque há um experimento global realizado com 1,6 bilhão de pessoas em 70 países, duas vezes por ano.

É chamado de Horário de Verão. Na primavera, quando perdemos uma hora de sono, vemos um aumento subsequente de 24% nos ataques cardíacos no dia seguinte. No outono, quando ganhamos uma hora de sono, vemos uma redução de 21% nos ataques cardíacos. Incrível, não é? E vemos exatamente o mesmo perfil para acidentes de carro, acidentes de trânsito, até mesmo taxas de suicídio. Mas para uma análise mais profunda, quero focar nisso, a perda de sono e seu sistema imunológico. E aqui vou apresentar esses elementos azuis encantadores na imagem.",0,0
One reason ive loved homeschooling all my kids all the way through... Plenty of sleep for everyone. My teens loved and needed that benefit too.,26,0
"Unfortunaly 1 month a year I can't get my room even below 30°C let alone 18°C, and the way we deal with it is by drinking red wine before bed, a little drunkness is the only way to fall a sleep in a hot night, and I'm learning now that alcoohol is also bad for sleep.
The reality can't always follow the theory, sometimes it's just impossible to sleep, at least in winter when the room is at 5°C I can put a lot of blankets and sleep cozy like a baby.",1,0
such a great speaker.,0,0
A legenda para o Português do Brasil não está sincronizada. É possível corrigir?,0,0
"The question is, Does sleeping more than 8 hours, let's say 10 Hours, is any better or do you start to degrade cycle of life again?",0,0
Good information sir thank you,2,0
New parent here. I'm so glad I made my newborn watch this. Hopefully she starts to apply these lessons soon,24,1
Thank you! Best talk about life’s very impt. gift….SLEEP.,0,0
"Has he mentioned in any of his books or podcasts or blogs etc regarding the best time to actually ""Go to Sleep""?
If anyone does know, please reply to this comment. 
Thanks.",0,0
haven’t had good sleep in years. everyday feels like it goes in slow motion.,0,0
"Amazing, indeed!",0,0
Top class presentation.,0,0
"While this video's message about getting sufficient sleep is very important, I could not stop admiring Matt's drip the entire time.",8,0
Me watching this video right before sleeping and feeling proud of me for existing,0,0
"When I get 8 hours of sleep I feel awful and tired for half my day, for me 6-6.5 hours is the sweet spot",0,0
Watching this as an insomniac who sleeps 5 hours/day,1,0
That is just so depressing for those of us who have trouble sleeping. Who else keeps waking up between 2-3am and then can't go back to sleep?,0,0
Thank you for this TED TALK,0,0
Brilliant guy! The way he speaks makes me wanna listen to him for hours.,67,1
"i struggle to sleep, my life style doesn't allow me more than 5 hours good sleep, i can't see how i can realistically change it, and i also sometimes struggle to get that as my brain is always so active.",0,0
God bless those people with breathing problems and insomnia ,0,0
Good Sleep is everything,0,0
Thank you very much. 4:00 Minuten in habe ich genug gehört um jetzt sofort mein Handy auszumachen und endlich Mal zu schlafen,0,0
"We used to joke with our dad about his sleeping of 8-10 hours every day. Two sons dead and all his 3 younger brothers dead, now we know sleeping a good diet is key to long life. He has only been once to hospital for appendicitis.",0,0
"Through middle school, I would go to bed at 8 and wake up at six thirty every day. School was a breeze, I was insanely creative, and I was very healthy overall.
In high school I started going to bed from eleven to six. School got much harder almost immediately, my mood plummeted and I was much less healthy. This guy knows what he’s talking about.
Edit: no I cannot prove that it was the sleep that changed me but if there was any anecdotal evidence to convince me so this would be it.",603,20
This is spectacular information I ever heard,0,1
The question is wether or not the ligetime you gain by sleeping extra exceeds the time you lose while sleeping extra hours.,1,0
I have a question.. what if your sleep is interrupted in the middle of the night.. how does that effect you,0,0
"Для Лиги лени: засыпайте и просыпайтесь всегда в одно и тоже время, соблюдайте режим т е , температура в комнате должна быть ориентировочно 18 градусов.",0,0
"0:21 Healthy Reproduction
0:46 Lack of Sleep Ages Quicker",0,0
"""sleep is not a luxury, its a biological necessity"" I needed to hear that.",18,1
what's equally amazing is that he totally talks like Christoph Waltz!,0,0
When I wake up I'm INSTANTLY ready because I sleep with all my clothes on (even socks).,1,0
Thanks Dear MATT walker for nice sharing,0,0
"I’m a senior and sleep a lot, basically out of boredom. Is there such a thing as sleeping too much?",1,0
"I don't know if i should be proud or not about me sleeping while watching the video half way

Now I completed it today*",0,0
"Psychology major here. I say this so more can perhaps become attentive to what i'm about to say, and decide to read this entire post, and not for any other purpose than this. 


Some more tips on how to get a better quality of sleep, I will also include some of the remarks made by Matt Walker.


(1) Exercise regularly, 4-5 times/week for about 30 minutes. It doesn't have to be very intense, a brisk walk will do you wonders.


(2) Maintain a healthy diet, by this I mean, exclude any processed foods, such as white rice, white pasta, maximize your intake of antioxidants, i.e. fruits and vegetables mostly. Instead of eating white rice, or white pasta, try to buy them in their ""fuller"" versions, i.e. brown pasta and rice. They will give you more fiber, vitamins and minerals. Nowadays we fill our bellies with foods high in calories, but incredibly low in vitamins, minerals and fiber.
Cut down on saturated fats, i.e. fats found primarily in processed meats, like chicken and meat, but also in ice cream, candy, cookies, doughnuts and muffins. Chicken and meat is a good nutritional source in itself, but you should be wary of how the meat has been treated in the factories before consumption.


(3) Try to eliminate any drug, alcohol or tobacco usage , not only will this make you sleep, and sleep better, but you will have a better quality of sleep, and it will do wonders to your health in general.


(4) Try to eliminate any added sugar from your diet. Here are some of the effects of sugar consumption; information taken from a book by Susanna Ehdin, PhD in immunology.
Sugar can cause;
(i) Too low or high blood sugar levels.
(ii) Sugar affects the structure of our proteins, hence (amongst other things), our ability to transport nutrients through our body becomes impaired.
(iii) Sugar raises the level of bloodfats and cholesterol in your blood.
(iv) Sugar can cause hyperactivity, inability to concentrate, excessive worrying, and irritable mood in children. 
(v) Sugar can cause depression.
(vi) Sugar can cause fungal infections.
(vii) Sugar can contribute to brittle-bone disease.
(viii) Sugar can cause fatty plaques in your arteries, as well as cardiovascular diseases. 
(ix) Sugar can cause migraines and headaches.
(x) Humans who consume excessive amounts of sugar has a three times higher risk of developing Parkinsons disease. 
(xi) The mothers sugar consumption during pregnancy can have effects on the development of her baby. 
(xii) Sugar has a correlation with the development of degenerative diseases, (diabetes, dementia, and kidney failure).
(xiii) Sugar impairs your immune system.  


(5) Make sure you have good sleep hygiene, i.e. your bed should only be for sleeping, not anything else, so you can, as Walker pointed out here, make your brain have a more robust association with your bed and sleep. Maintain a night routine, this has been found to make your brain become ""prepared"" for sleep, i.e. dim the lights an hour before bed, avoid any bright lights, rigorous physical activity, and make sure you cool the temperature in your room. This will have a positive effect on your predisposition to sleep because your brain will start secreting hormones that are conducive to sleep. 
Disruption, i.e. having bright lights, a warm room, and staring aimlessly at a bright computer or phone screen, will impair your brains secretion of sleep hormones, and it will stimulate the secretion of cortisol, a hormone that makes you more alert. This is not conducive to sleep. 


(6) Make sure you drink 1-1.5 liter of water/day, your sleep quality will improve. 


(7) As Walker mentioned, maintain a sleep schedule, where you wake up, and sleep roughly during the same hours, everyday. 


(8) Make sure to PRIORITIZE your sleep, so if you have any work, don't postpone it until later, try to do everything before the hour of sleep is forthcoming. 


(9) Try to tidy up your room and make your bed, make sure you get FRESH air while sleeping, at least try to, so your body can get rid of its toxins more effectively, contrary to popular belief, we get rid of almost all of our toxins from breathing, so make sure to provide your body with fresh air, rich in oxygen for this process to work better. I know, that some of us do not have this luxury, and it pains me that it has to be like this. But hopefully, if you can open a window, or something else to let authentic air flow into your room, you should do this. 


And lastly, remember, as Walker remarked. Sleep is crucial for EVERY aspect of your life. No part of your body can escape the debilitating effects of sleep deprivation, trust me on this one. 


I really hope this helps you if you have reached the end of my post. Thank you for having read it, and if you can, please, spread the word so you can also contribute to a better quality of life amongst your loved ones.


Thank you.",468,44
"This mans hair is a clear statement as to why you should sleep properly, it’s all about correct sleep whilst you’re sleeping however which is a big trouble. Melatonin before bed, no Netflix no food, maybe a book with a soft light on and then hit the sack guys, go into REM sleep!",0,0
"That's the kind of topic I'd love to understand more about, but all transcripts are advanced",0,0
"Sleeping is my favourite hobby because i like dreaming, it gives me a escape from the real world.",0,0
As a night shift nurse… I don’t plan on working nights for long… hoping to switch to day shift once I’m acclimated ,1,0
you proved that u are 100% right ,1,0
